c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,klasa
89.3125,77.5625,61.25,61.1875,88.625,77.1875,70.90625,72.1875,90.53125,70.25,75.1875,106.53125,89.6875,77.625,81.46875,45.8125,112.0625,70.5,59.8125,117.375,94.125,87.46875,65.25,80.875,80.5625,69.15625,86.3125,110.125,44.0625,106.9375,78.5625,65.75,83.8125,74.4375,76.5,115.125,125.34375,88.9375,131.21875,43.125,96.03125,114.21875,77.15625,76.875,140.21875,120.4375,75.0625,109.78125,85.15625,108.71875,103.9375,117.21875,110.21875,105.5,102.59375,122.84375,101.8125,110.875,80.28125,81.28125,143.15625,61.0,127.1875,112.9375,otwarta1
96.03125,86.09375,112.71875,112.75,130.34375,80.4375,90.375,83.53125,93.65625,59.46875,78.53125,108.46875,50.40625,119.90625,93.625,82.78125,108.59375,79.4375,89.0,67.375,112.9375,64.71875,92.1875,82.09375,93.59375,105.25,127.25,106.875,110.53125,99.875,111.0,89.71875,99.84375,61.4375,93.96875,48.1875,123.78125,102.9375,80.34375,114.78125,110.03125,64.84375,42.3125,75.25,120.15625,128.28125,77.90625,112.59375,102.53125,113.75,118.15625,102.34375,122.4375,101.6875,84.0625,89.125,155.3125,109.28125,134.34375,95.625,133.0,78.9375,103.3125,113.625,otwarta2
88.3125,103.1875,71.5625,101.09375,77.6875,90.9375,56.21875,73.3125,82.65625,64.0625,72.8125,73.3125,64.34375,56.84375,80.65625,94.40625,52.1875,119.5,39.375,52.28125,70.09375,106.90625,78.875,75.78125,34.71875,110.3125,84.625,42.4375,60.15625,45.9375,88.9375,46.78125,87.5,87.0,93.1875,96.5,102.59375,78.90625,41.09375,68.375,84.0625,40.8125,119.15625,77.59375,64.34375,115.84375,57.59375,39.53125,102.0625,102.125,60.375,121.625,61.46875,89.4375,100.71875,63.5625,74.0,124.0,96.875,107.84375,114.125,106.28125,121.59375,123.15625,otwarta3
101.15625,94.625,73.71875,105.09375,95.15625,88.8125,78.0,109.96875,97.90625,79.0625,96.5625,109.25,107.125,105.59375,92.90625,58.75,86.75,61.84375,84.0,76.0,80.0625,69.3125,83.46875,61.0625,96.78125,93.90625,91.0,61.34375,53.21875,85.28125,70.9375,66.75,55.90625,76.71875,73.84375,72.75,71.40625,91.3125,84.4375,76.25,110.09375,88.9375,101.78125,75.28125,90.71875,101.3125,83.375,118.8125,136.375,104.9375,83.03125,93.46875,84.4375,91.96875,104.34375,82.0,95.1875,83.8125,105.125,103.4375,96.28125,113.90625,109.8125,100.8125,otwarta4
78.90625,82.875,93.78125,70.4375,72.90625,77.5,89.09375,73.84375,79.75,73.3125,54.5625,57.78125,64.0,48.84375,50.90625,72.9375,70.40625,75.65625,79.375,42.1875,44.875,79.25,39.28125,44.3125,125.25,73.90625,67.34375,73.3125,53.21875,75.15625,75.1875,86.59375,75.65625,104.40625,84.625,49.40625,90.125,55.4375,76.0625,52.9375,92.78125,84.375,130.5625,87.3125,65.5625,103.21875,68.6875,81.34375,120.78125,122.75,108.40625,95.8125,72.0625,110.5,108.125,80.25,69.1875,104.75,81.5625,124.59375,115.71875,116.03125,77.75,108.625,otwarta5
95.25,132.6875,120.21875,135.25,85.125,119.75,115.34375,120.71875,105.03125,139.125,120.96875,97.09375,122.0,81.0625,99.5,76.71875,83.25,83.96875,89.125,76.84375,94.53125,92.65625,114.09375,78.8125,143.34375,98.75,102.25,73.75,92.03125,121.40625,70.96875,123.6875,110.25,89.3125,67.125,71.75,104.5,63.8125,67.9375,77.5,129.09375,95.875,144.1875,118.8125,95.6875,127.75,84.34375,133.9375,67.3125,98.53125,91.0625,116.65625,104.34375,127.09375,146.03125,135.5,90.3125,125.78125,123.34375,98.6875,125.90625,112.3125,123.8125,90.59375,otwarta6
62.5,118.28125,78.96875,64.3125,54.59375,95.09375,83.71875,86.5,72.71875,106.8125,64.75,90.5625,71.03125,54.3125,60.5,93.8125,56.9375,67.875,83.59375,48.6875,53.0625,40.65625,55.25,59.3125,34.625,44.65625,46.40625,49.78125,74.78125,83.90625,65.9375,66.09375,77.625,54.6875,73.1875,84.1875,50.46875,50.3125,92.53125,56.90625,43.21875,67.40625,81.40625,84.46875,51.46875,47.59375,53.0,50.75,75.125,66.40625,80.78125,58.46875,53.03125,83.0,82.34375,48.25,93.84375,79.625,103.625,78.53125,76.53125,64.65625,96.28125,110.875,otwarta7
106.15625,105.4375,89.53125,112.625,110.96875,99.3125,157.0625,112.90625,74.375,86.0,87.34375,63.5,73.53125,99.9375,109.46875,54.09375,104.6875,88.375,74.84375,67.8125,77.84375,125.4375,67.40625,83.9375,76.8125,34.34375,83.1875,109.46875,55.53125,116.09375,85.375,83.28125,34.09375,88.03125,124.625,64.0,80.8125,78.71875,38.21875,68.03125,97.28125,102.5,96.5,89.5625,100.0625,67.3125,65.5625,88.4375,72.21875,95.84375,78.5,68.84375,97.09375,121.03125,125.40625,74.03125,78.28125,97.4375,102.21875,94.59375,70.03125,129.46875,115.5,99.125,otwarta8
86.25,121.5,110.25,109.8125,100.90625,99.59375,97.03125,95.3125,107.96875,73.15625,120.9375,89.75,67.4375,129.40625,100.3125,47.40625,76.65625,58.1875,93.1875,96.40625,59.46875,91.90625,73.96875,77.65625,34.75,101.25,89.21875,46.53125,69.125,115.34375,62.53125,116.34375,105.8125,92.28125,70.9375,92.3125,119.9375,110.59375,61.90625,87.0625,72.875,118.34375,39.53125,100.0,95.28125,89.71875,69.1875,100.375,81.25,91.28125,63.40625,104.6875,69.875,84.59375,103.5,106.9375,117.9375,127.75,111.9375,85.4375,114.5,87.71875,100.8125,104.09375,otwarta9
92.1875,111.875,76.5625,74.6875,67.59375,87.5,74.21875,78.375,70.09375,65.9375,72.15625,86.84375,64.53125,46.96875,67.9375,70.28125,95.71875,45.15625,30.375,58.78125,59.0625,77.96875,82.9375,77.53125,38.125,93.78125,79.5625,80.65625,68.5625,88.03125,48.40625,86.0625,67.0,32.71875,73.71875,69.1875,84.8125,77.40625,68.0,77.09375,96.75,48.78125,86.84375,35.90625,84.03125,112.5625,71.625,89.59375,46.8125,58.15625,69.71875,87.46875,82.125,96.25,85.03125,64.40625,52.375,94.03125,63.6875,109.28125,112.25,95.8125,119.6875,108.1875,otwarta10
